[LOG] System::create                           : Header version = 1.09.04. Current version = 1.09.04.
[LOG] OutputWASAPI::init                       : Mix Format (WAVEFORMATEXTENSIBLE): wValidBitsPerSample=32, dwChannelMask=0x00000003, SubFormat=00000003-0000-0010-8000-00AA00389B71.
[LOG] OutputWASAPI::init                       : Output buffer size: 4096 samples, latency: 0.00ms, period: 10.00ms, DSP buffer: 1024 * 4
[LOG] Thread::initThread                       : Init FMOD mixer thread. Priority: 3, Stack Size: 49152, Semaphore: No, Sleep Time: 0, Looping: Yes.
[LOG] Thread::callback                         : FMOD mixer thread finished.
[LOG] OutputWASAPI::init                       : Mix Format (WAVEFORMATEX): wFormatTag=0xFFFE, nChannels=2, nSamplesPerSec=48000, nAvgBytesPerSec=384000, nBlockAlign=8, wBitsPerSample=32, cbSize=22.
[LOG] OutputWASAPI::init                       : Mix Format (WAVEFORMATEXTENSIBLE): wValidBitsPerSample=32, dwChannelMask=0x00000003, SubFormat=00000003-0000-0010-8000-00AA00389B71.
[LOG] OutputWASAPI::init                       : Output buffer size: 4096 samples, latency: 0.00ms, period: 10.00ms, DSP buffer: 1024 * 4
[LOG] Thread::initThread                       : Init FMOD mixer thread. Priority: 3, Stack Size: 49152, Semaphore: No, Sleep Time: 0, Looping: Yes.
[LOG] Thread::callback                         : FMOD mixer thread finished.
[LOG] OutputWASAPI::init                       : Mix Format (WAVEFORMATEX): wFormatTag=0xFFFE, nChannels=2, nSamplesPerSec=44100, nAvgBytesPerSec=352800, nBlockAlign=8, wBitsPerSample=32, cbSize=22.
[LOG] OutputWASAPI::init                       : Mix Format (WAVEFORMATEXTENSIBLE): wValidBitsPerSample=32, dwChannelMask=0x00000003, SubFormat=00000003-0000-0010-8000-00AA00389B71.
[LOG] OutputWASAPI::init                       : Output buffer size: 3760 samples, latency: 0.00ms, period: 10.16ms, DSP buffer: 1024 * 4
[WRN] SystemI::startDriver                     : Output requires a sample rate of 44100Hz, resampling will occur.
[LOG] Thread::initThread                       : Init FMOD mixer thread. Priority: 3, Stack Size: 49152, Semaphore: No, Sleep Time: 0, Looping: Yes.
[LOG] Manager::readBank                        : fileversion = 88, compatVersion = 86 (oldest = 44, newest = 88)
[LOG] Manager::readBank                        : fileversion = 88, compatVersion = 86 (oldest = 44, newest = 88)
[LOG] Manager::readBank                        : fileversion = 88, compatVersion = 86 (oldest = 44, newest = 88)
[LOG] Manager::readBank                        : fileversion = 88, compatVersion = 86 (oldest = 44, newest = 88)
[LOG] Manager::readBank                        : fileversion = 88, compatVersion = 86 (oldest = 44, newest = 88)
[LOG] Manager::readBank                        : fileversion = 88, compatVersion = 86 (oldest = 44, newest = 88)
[WRN] PluginEffectModel::init                  : Missing DSP plugin 'Oculus Spatializer'
[WRN] RuntimeBankModel::initPluginEffects      : Creating stub DSP plugin model and continuing.
[WRN] PluginEffectModel::init                  : Missing DSP plugin 'Oculus Spatializer'
[WRN] RuntimeBankModel::initPluginEffects      : Creating stub DSP plugin model and continuing.
[WRN] PluginEffectModel::init                  : Missing DSP plugin 'Oculus Spatializer'
[WRN] RuntimeBankModel::initPluginEffects      : Creating stub DSP plugin model and continuing.
[WRN] PluginEffectModel::init                  : Missing DSP plugin 'Oculus Spatializer'
[WRN] RuntimeBankModel::initPluginEffects      : Creating stub DSP plugin model and continuing.
[WRN] PluginEffectModel::init                  : Missing DSP plugin 'Oculus Spatializer'
[WRN] RuntimeBankModel::initPluginEffects      : Creating stub DSP plugin model and continuing.
[WRN] PluginEffectModel::init                  : Missing DSP plugin 'Oculus Spatializer'
[WRN] RuntimeBankModel::initPluginEffects      : Creating stub DSP plugin model and continuing.
[WRN] PluginEffectModel::init                  : Missing DSP plugin 'Oculus Spatializer'
[WRN] RuntimeBankModel::initPluginEffects      : Creating stub DSP plugin model and continuing.
[WRN] PluginEffectModel::init                  : Missing DSP plugin 'Oculus Spatializer'
[WRN] RuntimeBankModel::initPluginEffects      : Creating stub DSP plugin model and continuing.
[WRN] PluginEffectModel::init                  : Missing DSP plugin 'Oculus Spatializer'
[WRN] RuntimeBankModel::initPluginEffects      : Creating stub DSP plugin model and continuing.
[LOG] PlaybackSystem::acquireMasterBus         : Setting master channel group format to 3
[LOG] Manager::readBank                        : fileversion = 88, compatVersion = 86 (oldest = 44, newest = 88)
[LOG] Manager::readBank                        : fileversion = 88, compatVersion = 86 (oldest = 44, newest = 88)
[LOG] Manager::readBank                        : fileversion = 88, compatVersion = 86 (oldest = 44, newest = 88)
[LOG] Manager::readBank                        : fileversion = 88, compatVersion = 86 (oldest = 44, newest = 88)
[LOG] Manager::readBank                        : fileversion = 88, compatVersion = 86 (oldest = 44, newest = 88)
[LOG] Manager::readBank                        : fileversion = 88, compatVersion = 86 (oldest = 44, newest = 88)
[WRN] PluginEffectModel::init                  : Missing DSP plugin 'Oculus Spatializer'
[WRN] RuntimeBankModel::initPluginEffects      : Creating stub DSP plugin model and continuing.
[WRN] PluginEffectModel::init                  : Missing DSP plugin 'Oculus Spatializer'
[WRN] RuntimeBankModel::initPluginEffects      : Creating stub DSP plugin model and continuing.
[WRN] PluginEffectModel::init                  : Missing DSP plugin 'Oculus Spatializer'
[WRN] RuntimeBankModel::initPluginEffects      : Creating stub DSP plugin model and continuing.
[WRN] PluginEffectModel::init                  : Missing DSP plugin 'Oculus Spatializer'
[WRN] RuntimeBankModel::initPluginEffects      : Creating stub DSP plugin model and continuing.
[WRN] PluginEffectModel::init                  : Missing DSP plugin 'Oculus Spatializer'
[WRN] RuntimeBankModel::initPluginEffects      : Creating stub DSP plugin model and continuing.
[WRN] PluginEffectModel::init                  : Missing DSP plugin 'Oculus Spatializer'
[WRN] RuntimeBankModel::initPluginEffects      : Creating stub DSP plugin model and continuing.
[WRN] PluginEffectModel::init                  : Missing DSP plugin 'Oculus Spatializer'
[WRN] RuntimeBankModel::initPluginEffects      : Creating stub DSP plugin model and continuing.
[WRN] PluginEffectModel::init                  : Missing DSP plugin 'Oculus Spatializer'
[WRN] RuntimeBankModel::initPluginEffects      : Creating stub DSP plugin model and continuing.
[WRN] PluginEffectModel::init                  : Missing DSP plugin 'Oculus Spatializer'
[WRN] RuntimeBankModel::initPluginEffects      : Creating stub DSP plugin model and continuing.
[LOG] PlaybackSystem::acquireMasterBus         : Setting master channel group format to 3
[LOG] Manager::readBank                        : fileversion = 88, compatVersion = 86 (oldest = 44, newest = 88)
[WRN] PluginEffectModel::init                  : Missing DSP plugin 'Oculus Spatializer'
[WRN] RuntimeBankModel::initPluginEffects      : Creating stub DSP plugin model and continuing.
[WRN] PluginEffectModel::init                  : Missing DSP plugin 'Oculus Spatializer'
[WRN] RuntimeBankModel::initPluginEffects      : Creating stub DSP plugin model and continuing.
[WRN] PluginEffectModel::init                  : Missing DSP plugin 'Oculus Spatializer'
[WRN] RuntimeBankModel::initPluginEffects      : Creating stub DSP plugin model and continuing.
[WRN] PluginEffectModel::init                  : Missing DSP plugin 'Oculus Spatializer'
[WRN] RuntimeBankModel::initPluginEffects      : Creating stub DSP plugin model and continuing.
[WRN] PluginEffectModel::init                  : Missing DSP plugin 'Oculus Spatializer'
[WRN] RuntimeBankModel::initPluginEffects      : Creating stub DSP plugin model and continuing.
[WRN] PluginEffectModel::init                  : Missing DSP plugin 'Oculus Spatializer'
[WRN] RuntimeBankModel::initPluginEffects      : Creating stub DSP plugin model and continuing.
[WRN] PluginEffectModel::init                  : Missing DSP plugin 'Oculus Spatializer'
[WRN] RuntimeBankModel::initPluginEffects      : Creating stub DSP plugin model and continuing.
[WRN] PluginEffectModel::init                  : Missing DSP plugin 'Oculus Spatializer'
[WRN] RuntimeBankModel::initPluginEffects      : Creating stub DSP plugin model and continuing.
[WRN] PluginEffectModel::init                  : Missing DSP plugin 'Oculus Spatializer'
[WRN] RuntimeBankModel::initPluginEffects      : Creating stub DSP plugin model and continuing.
[LOG] PlaybackSystem::acquireMasterBus         : Setting master channel group format to 3
[WRN] EffectConstructionVisitor::visitPluginEffect : Warning.  Creating stub DSP for plugin 'Oculus Spatializer'
[LOG] SystemI::createSoundInternal             : filename =  : mode 02000202
[LOG] SystemI::createSoundInternal             : exinfo->cbsize             = 232
[LOG] SystemI::createSoundInternal             : exinfo->length             = 2660960
[LOG] SystemI::createSoundInternal             : exinfo->fileoffset         = 60704
[LOG] SystemI::createSoundInternal             : exinfo->numsubsounds       = 1
[LOG] SystemI::createSoundInternal             : exinfo->inclusionlist      = 000000006497FBF8
[LOG] SystemI::createSoundInternal             : exinfo->inclusionlistnum   = 1
[LOG] SystemI::createSoundInternal             : exinfo->suggestedsoundtype = 5
[LOG] SystemI::createSoundInternal             : exinfo->useropen           = 00007FFD8DC56730
[LOG] SystemI::createSoundInternal             : exinfo->userclose          = 00007FFD8DC56700
[LOG] SystemI::createSoundInternal             : exinfo->userread           = 00007FFD8DC56800
[LOG] SystemI::createSoundInternal             : exinfo->userseek           = 00007FFD8DC568B0
[LOG] SystemI::createSoundInternal             : exinfo->fileuserdata       = 00000000462E19B8
[LOG] SystemI::DSPCodecPoolRegister            : register codec pool for pool type 5
[LOG] SystemI::createSoundInternal             : Format has 1 subsounds.
[LOG] SystemI::createSoundInternal             : Create as FMOD_CREATESAMPLE
[LOG] SystemI::createSoundInternal             : Multi-sample sound (1 subsounds), create a sample container.
[LOG] SystemI::createSoundInternal             : creating subsound 0/1
[LOG] SystemI::createSample                    : mode 02000202 length 31841 samples, lengthbytes 5984
[LOG] SystemI::createSample                    : channels = 1
[LOG] SystemI::createSample                    : output = 0000000046425DB8
[LOG] OutputSoftware::createSample             : lengthpcm 31841, lengthbytes 5984, channels 1, format 2, freq 48000, mode 0200020a
[LOG] SystemI::createSoundInternal             : No name found in file, use filename.
[LOG] SystemI::createSoundInternal             : done.  OpenState now = FMOD_OPENSTATE_READY.

[LOG] SystemI::createSoundInternal             : filename =  : mode 02000202
[LOG] SystemI::createSoundInternal             : exinfo->cbsize             = 232
[LOG] SystemI::createSoundInternal             : exinfo->length             = 2660960
[LOG] SystemI::createSoundInternal             : exinfo->fileoffset         = 60704
[LOG] SystemI::createSoundInternal             : exinfo->numsubsounds       = 1
[LOG] SystemI::createSoundInternal             : exinfo->inclusionlist      = 000000006497FBF8
[LOG] SystemI::createSoundInternal             : exinfo->inclusionlistnum   = 1
[LOG] SystemI::createSoundInternal             : exinfo->suggestedsoundtype = 5
[LOG] SystemI::createSoundInternal             : exinfo->useropen           = 00007FFD8DC56730
[LOG] SystemI::createSoundInternal             : exinfo->userclose          = 00007FFD8DC56700
[LOG] SystemI::createSoundInternal             : exinfo->userread           = 00007FFD8DC56800
[LOG] SystemI::createSoundInternal             : exinfo->userseek           = 00007FFD8DC568B0
[LOG] SystemI::createSoundInternal             : exinfo->fileuserdata       = 00000000462E19B8
[LOG] SystemI::DSPCodecPoolRegister            : register codec pool for pool type 5
[LOG] SystemI::createSoundInternal             : Format has 1 subsounds.
[LOG] SystemI::createSoundInternal             : Create as FMOD_CREATESAMPLE
[LOG] SystemI::createSoundInternal             : Multi-sample sound (1 subsounds), create a sample container.
[LOG] SystemI::createSoundInternal             : creating subsound 0/1
[LOG] SystemI::createSample                    : mode 02000202 length 31841 samples, lengthbytes 5824
[LOG] SystemI::createSample                    : channels = 1
[LOG] SystemI::createSample                    : output = 0000000046425DB8
[LOG] OutputSoftware::createSample             : lengthpcm 31841, lengthbytes 5824, channels 1, format 2, freq 48000, mode 0200020a
[LOG] SystemI::createSoundInternal             : No name found in file, use filename.
[LOG] SystemI::createSoundInternal             : done.  OpenState now = FMOD_OPENSTATE_READY.

[LOG] SystemI::createSoundInternal             : filename =  : mode 02000202
[LOG] SystemI::createSoundInternal             : exinfo->cbsize             = 232
[LOG] SystemI::createSoundInternal             : exinfo->length             = 2660960
[LOG] SystemI::createSoundInternal             : exinfo->fileoffset         = 60704
[LOG] SystemI::createSoundInternal             : exinfo->numsubsounds       = 1
[LOG] SystemI::createSoundInternal             : exinfo->inclusionlist      = 000000006497FBF8
[LOG] SystemI::createSoundInternal             : exinfo->inclusionlistnum   = 1
[LOG] SystemI::createSoundInternal             : exinfo->suggestedsoundtype = 5
[LOG] SystemI::createSoundInternal             : exinfo->useropen           = 00007FFD8DC56730
[LOG] SystemI::createSoundInternal             : exinfo->userclose          = 00007FFD8DC56700
[LOG] SystemI::createSoundInternal             : exinfo->userread           = 00007FFD8DC56800
[LOG] SystemI::createSoundInternal             : exinfo->userseek           = 00007FFD8DC568B0
[LOG] SystemI::createSoundInternal             : exinfo->fileuserdata       = 00000000462E19B8
[LOG] SystemI::DSPCodecPoolRegister            : register codec pool for pool type 5
[LOG] SystemI::createSoundInternal             : Format has 1 subsounds.
[LOG] SystemI::createSoundInternal             : Create as FMOD_CREATESAMPLE
[LOG] SystemI::createSoundInternal             : Multi-sample sound (1 subsounds), create a sample container.
[LOG] SystemI::createSoundInternal             : creating subsound 0/1
[LOG] SystemI::createSample                    : mode 02000202 length 19360 samples, lengthbytes 3296
[LOG] SystemI::createSample                    : channels = 1
[LOG] SystemI::createSample                    : output = 0000000046425DB8
[LOG] OutputSoftware::createSample             : lengthpcm 19360, lengthbytes 3296, channels 1, format 2, freq 48000, mode 0200020a
[LOG] SystemI::createSoundInternal             : No name found in file, use filename.
[LOG] SystemI::createSoundInternal             : done.  OpenState now = FMOD_OPENSTATE_READY.

[LOG] SystemI::createSoundInternal             : filename =  : mode 02000202
[LOG] SystemI::createSoundInternal             : exinfo->cbsize             = 232
[LOG] SystemI::createSoundInternal             : exinfo->length             = 2660960
[LOG] SystemI::createSoundInternal             : exinfo->fileoffset         = 60704
[LOG] SystemI::createSoundInternal             : exinfo->numsubsounds       = 1
[LOG] SystemI::createSoundInternal             : exinfo->inclusionlist      = 000000006497FBF8
[LOG] SystemI::createSoundInternal             : exinfo->inclusionlistnum   = 1
[LOG] SystemI::createSoundInternal             : exinfo->suggestedsoundtype = 5
[LOG] SystemI::createSoundInternal             : exinfo->useropen           = 00007FFD8DC56730
[LOG] SystemI::createSoundInternal             : exinfo->userclose          = 00007FFD8DC56700
[LOG] SystemI::createSoundInternal             : exinfo->userread           = 00007FFD8DC56800
[LOG] SystemI::createSoundInternal             : exinfo->userseek           = 00007FFD8DC568B0
[LOG] SystemI::createSoundInternal             : exinfo->fileuserdata       = 00000000462E19B8
[LOG] SystemI::DSPCodecPoolRegister            : register codec pool for pool type 5
[LOG] SystemI::createSoundInternal             : Format has 1 subsounds.
[LOG] SystemI::createSoundInternal             : Create as FMOD_CREATESAMPLE
[LOG] SystemI::createSoundInternal             : Multi-sample sound (1 subsounds), create a sample container.
[LOG] SystemI::createSoundInternal             : creating subsound 0/1
[LOG] SystemI::createSample                    : mode 02000202 length 29926 samples, lengthbytes 5728
[LOG] SystemI::createSample                    : channels = 1
[LOG] SystemI::createSample                    : output = 0000000046425DB8
[LOG] OutputSoftware::createSample             : lengthpcm 29926, lengthbytes 5728, channels 1, format 2, freq 48000, mode 0200020a
[LOG] SystemI::createSoundInternal             : No name found in file, use filename.
[LOG] SystemI::createSoundInternal             : done.  OpenState now = FMOD_OPENSTATE_READY.

[LOG] SystemI::createSoundInternal             : filename =  : mode 02000202
[LOG] SystemI::createSoundInternal             : exinfo->cbsize             = 232
[LOG] SystemI::createSoundInternal             : exinfo->length             = 2660960
[LOG] SystemI::createSoundInternal             : exinfo->fileoffset         = 60704
[LOG] SystemI::createSoundInternal             : exinfo->numsubsounds       = 1
[LOG] SystemI::createSoundInternal             : exinfo->inclusionlist      = 000000006497FBF8
[LOG] SystemI::createSoundInternal             : exinfo->inclusionlistnum   = 1
[LOG] SystemI::createSoundInternal             : exinfo->suggestedsoundtype = 5
[LOG] SystemI::createSoundInternal             : exinfo->useropen           = 00007FFD8DC56730
[LOG] SystemI::createSoundInternal             : exinfo->userclose          = 00007FFD8DC56700
[LOG] SystemI::createSoundInternal             : exinfo->userread           = 00007FFD8DC56800
[LOG] SystemI::createSoundInternal             : exinfo->userseek           = 00007FFD8DC568B0
[LOG] SystemI::createSoundInternal             : exinfo->fileuserdata       = 00000000462E19B8
[LOG] SystemI::DSPCodecPoolRegister            : register codec pool for pool type 5
[LOG] SystemI::createSoundInternal             : Format has 1 subsounds.
[LOG] SystemI::createSoundInternal             : Create as FMOD_CREATESAMPLE
[LOG] SystemI::createSoundInternal             : Multi-sample sound (1 subsounds), create a sample container.
[LOG] SystemI::createSoundInternal             : creating subsound 0/1
[LOG] SystemI::createSample                    : mode 02000202 length 31568 samples, lengthbytes 5792
[LOG] SystemI::createSample                    : channels = 1
[LOG] SystemI::createSample                    : output = 0000000046425DB8
[LOG] OutputSoftware::createSample             : lengthpcm 31568, lengthbytes 5792, channels 1, format 2, freq 48000, mode 0200020a
[LOG] SystemI::createSoundInternal             : No name found in file, use filename.
[LOG] SystemI::createSoundInternal             : done.  OpenState now = FMOD_OPENSTATE_READY.

[LOG] SystemI::createSoundInternal             : filename =  : mode 02000202
[LOG] SystemI::createSoundInternal             : exinfo->cbsize             = 232
[LOG] SystemI::createSoundInternal             : exinfo->length             = 2660960
[LOG] SystemI::createSoundInternal             : exinfo->fileoffset         = 60704
[LOG] SystemI::createSoundInternal             : exinfo->numsubsounds       = 1
[LOG] SystemI::createSoundInternal             : exinfo->inclusionlist      = 000000006497FBF8
[LOG] SystemI::createSoundInternal             : exinfo->inclusionlistnum   = 1
[LOG] SystemI::createSoundInternal             : exinfo->suggestedsoundtype = 5
[LOG] SystemI::createSoundInternal             : exinfo->useropen           = 00007FFD8DC56730
[LOG] SystemI::createSoundInternal             : exinfo->userclose          = 00007FFD8DC56700
[LOG] SystemI::createSoundInternal             : exinfo->userread           = 00007FFD8DC56800
[LOG] SystemI::createSoundInternal             : exinfo->userseek           = 00007FFD8DC568B0
[LOG] SystemI::createSoundInternal             : exinfo->fileuserdata       = 00000000462E19B8
[LOG] SystemI::DSPCodecPoolRegister            : register codec pool for pool type 5
[LOG] SystemI::createSoundInternal             : Format has 1 subsounds.
[LOG] SystemI::createSoundInternal             : Create as FMOD_CREATESAMPLE
[LOG] SystemI::createSoundInternal             : Multi-sample sound (1 subsounds), create a sample container.
[LOG] SystemI::createSoundInternal             : creating subsound 0/1
[LOG] SystemI::createSample                    : mode 02000202 length 31568 samples, lengthbytes 5792
[LOG] SystemI::createSample                    : channels = 1
[LOG] SystemI::createSample                    : output = 0000000046425DB8
[LOG] OutputSoftware::createSample             : lengthpcm 31568, lengthbytes 5792, channels 1, format 2, freq 48000, mode 0200020a
[LOG] SystemI::createSoundInternal             : No name found in file, use filename.
[LOG] SystemI::createSoundInternal             : done.  OpenState now = FMOD_OPENSTATE_READY.

[LOG] SystemI::createSoundInternal             : filename =  : mode 02000202
[LOG] SystemI::createSoundInternal             : exinfo->cbsize             = 232
[LOG] SystemI::createSoundInternal             : exinfo->length             = 2660960
[LOG] SystemI::createSoundInternal             : exinfo->fileoffset         = 60704
[LOG] SystemI::createSoundInternal             : exinfo->numsubsounds       = 1
[LOG] SystemI::createSoundInternal             : exinfo->inclusionlist      = 000000006497FBF8
[LOG] SystemI::createSoundInternal             : exinfo->inclusionlistnum   = 1
[LOG] SystemI::createSoundInternal             : exinfo->suggestedsoundtype = 5
[LOG] SystemI::createSoundInternal             : exinfo->useropen           = 00007FFD8DC56730
[LOG] SystemI::createSoundInternal             : exinfo->userclose          = 00007FFD8DC56700
[LOG] SystemI::createSoundInternal             : exinfo->userread           = 00007FFD8DC56800
[LOG] SystemI::createSoundInternal             : exinfo->userseek           = 00007FFD8DC568B0
[LOG] SystemI::createSoundInternal             : exinfo->fileuserdata       = 00000000462E19B8
[LOG] SystemI::DSPCodecPoolRegister            : register codec pool for pool type 5
[LOG] SystemI::createSoundInternal             : Format has 1 subsounds.
[LOG] SystemI::createSoundInternal             : Create as FMOD_CREATESAMPLE
[LOG] SystemI::createSoundInternal             : Multi-sample sound (1 subsounds), create a sample container.
[LOG] SystemI::createSoundInternal             : creating subsound 0/1
[LOG] SystemI::createSample                    : mode 02000202 length 32389 samples, lengthbytes 5952
[LOG] SystemI::createSample                    : channels = 1
[LOG] SystemI::createSample                    : output = 0000000046425DB8
[LOG] OutputSoftware::createSample             : lengthpcm 32389, lengthbytes 5952, channels 1, format 2, freq 48000, mode 0200020a
[LOG] SystemI::createSoundInternal             : No name found in file, use filename.
[LOG] SystemI::createSoundInternal             : done.  OpenState now = FMOD_OPENSTATE_READY.

[LOG] SystemI::createSoundInternal             : filename =  : mode 02000202
[LOG] SystemI::createSoundInternal             : exinfo->cbsize             = 232
[LOG] SystemI::createSoundInternal             : exinfo->length             = 2660960
[LOG] SystemI::createSoundInternal             : exinfo->fileoffset         = 60704
[LOG] SystemI::createSoundInternal             : exinfo->numsubsounds       = 1
[LOG] SystemI::createSoundInternal             : exinfo->inclusionlist      = 000000006497FBF8
[LOG] SystemI::createSoundInternal             : exinfo->inclusionlistnum   = 1
[LOG] SystemI::createSoundInternal             : exinfo->suggestedsoundtype = 5
[LOG] SystemI::createSoundInternal             : exinfo->useropen           = 00007FFD8DC56730
[LOG] SystemI::createSoundInternal             : exinfo->userclose          = 00007FFD8DC56700
[LOG] SystemI::createSoundInternal             : exinfo->userread           = 00007FFD8DC56800
[LOG] SystemI::createSoundInternal             : exinfo->userseek           = 00007FFD8DC568B0
[LOG] SystemI::createSoundInternal             : exinfo->fileuserdata       = 00000000462E19B8
[LOG] SystemI::DSPCodecPoolRegister            : register codec pool for pool type 5
[LOG] SystemI::createSoundInternal             : Format has 1 subsounds.
[LOG] SystemI::createSoundInternal             : Create as FMOD_CREATESAMPLE
[LOG] SystemI::createSoundInternal             : Multi-sample sound (1 subsounds), create a sample container.
[LOG] SystemI::createSoundInternal             : creating subsound 0/1
[LOG] SystemI::createSample                    : mode 02000202 length 31932 samples, lengthbytes 6176
[LOG] SystemI::createSample                    : channels = 1
[LOG] SystemI::createSample                    : output = 0000000046425DB8
[LOG] OutputSoftware::createSample             : lengthpcm 31932, lengthbytes 6176, channels 1, format 2, freq 48000, mode 0200020a
[LOG] SystemI::createSoundInternal             : No name found in file, use filename.
